# number of KF, number of MP, UpdateLM[ms], SearchLP[ms], PoseOpt[ms]
25,1739,1.034496,1.158145,1.983384
25,1739,0.577601,0.562265,0.979214
26,1786,1.568280,1.369910,1.804895
26,1785,1.134163,1.239036,1.609752
26,1785,1.246891,1.735919,2.149151
25,1865,0.650739,0.871373,2.534105
25,1864,1.363921,2.264770,2.900756
20,1361,0.542784,0.605550,1.371029
23,1734,0.856604,1.048982,1.719354
21,1713,0.573038,0.578464,1.114329
20,1616,0.671218,1.191540,1.636973
20,1607,3.358780,2.605942,2.561497
19,1270,0.556073,0.929791,1.744462
19,1289,0.979679,1.978714,1.779317
19,1282,0.779586,2.394754,2.100890
19,1282,1.999516,0.699027,1.168782
18,1254,0.635860,2.907101,2.834796
17,1202,0.550199,1.145512,2.080494
18,1243,0.527994,0.596499,1.123202
18,1246,0.720928,1.065309,2.128570
17,1227,0.557332,1.505487,2.130479
15,1085,0.389388,0.631189,1.312107
18,1312,0.745086,0.988948,1.642876
16,1163,0.465459,0.714671,1.934581
16,1163,0.468938,0.693484,1.421853
17,1211,0.584511,0.828658,1.857618
15,1053,0.516162,0.800442,2.095162
14,996,0.480302,0.682145,1.247240
15,1069,0.459830,0.974033,2.076898
15,1054,0.547944,1.154146,2.279825
15,1054,0.426546,0.570110,1.726997
16,1133,0.641762,1.020246,1.697762
14,967,0.393441,0.671423,1.450392
16,1120,1.400668,0.884411,1.735870
17,1202,0.588787,1.151055,1.735206
14,964,0.897435,0.674077,1.673486
15,1047,0.986645,0.761315,1.359051
15,1047,0.379906,0.766969,2.083521
15,1022,0.544659,0.821226,2.204466
15,1006,0.426677,0.926737,1.811941
15,1005,0.480167,0.763382,1.861175
15,1005,0.825777,0.996736,2.039541
16,1066,0.441106,0.876198,2.321438
15,1011,0.617125,1.501544,2.582042
15,1011,0.424212,0.696195,1.500241
17,1126,0.610494,1.274825,2.677418
16,1073,0.406784,0.737226,1.419026
16,1073,1.148464,1.203643,2.513209
17,1155,0.826006,1.840016,2.340844
17,1152,2.409172,2.824977,2.355911
17,1152,0.670086,3.629781,2.730598
18,1238,0.533003,1.361619,3.380770
18,1235,0.544581,1.032355,2.554973
18,1235,1.121630,3.849467,2.312425
18,1235,0.729053,1.263690,2.347485
19,1304,2.036311,1.611317,2.771501
19,1285,0.647662,1.068232,2.142287
16,1195,0.517618,0.948049,1.770870
18,1303,0.641939,1.543964,3.394798
20,1380,0.741361,1.060502,2.550842
17,1256,0.508708,0.983922,2.064653
17,1256,0.512546,0.997550,2.396311
21,1437,0.936791,2.181416,4.068817
21,1435,0.797409,1.472559,2.889260
19,1358,0.659874,1.015861,2.017858
14,1145,0.599426,1.650235,2.793614
22,1506,1.053238,1.703068,3.545096
19,1356,0.696537,1.168811,2.380032
19,1356,0.764854,1.029809,2.171437
16,1236,0.880229,1.438323,2.467218
16,1236,1.612716,1.024146,1.892203
17,1289,0.889224,1.876833,2.052355
16,1224,2.778858,2.312579,3.197110
15,1183,0.531331,1.078458,1.755376
17,1329,0.757978,1.799816,2.801075
20,1433,0.770290,0.972668,2.437982
17,1311,0.922247,4.157469,2.313055
21,1538,0.739440,1.440483,3.479660
21,1528,0.688330,1.012000,2.326256
21,1526,2.003462,1.345195,2.129708
19,1486,0.671471,1.830714,3.329554
19,1478,1.170562,2.143771,3.688674
19,1477,0.609272,1.278402,1.959746
20,1535,0.917506,1.873776,2.752145
20,1509,0.903594,1.401187,2.736255
20,1509,0.583641,0.812714,2.045846
21,1535,2.694130,1.553284,2.391481
21,1511,2.375180,3.021923,2.335673
21,1509,0.765824,1.283439,1.696870
22,1553,0.645481,1.298941,1.831534
22,1529,1.010387,1.453984,1.718538
22,1529,0.983038,1.398655,2.018272
22,1529,0.575708,0.779923,1.206246
