#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
22.388886,0.102081,84.913146,46.416252,5.552293,159.374117
21.044696,0.086685,101.821683,46.877947,5.124598,174.956852
14.152262,0.057810,80.477071,37.034450,2.893378,134.616175
17.796389,0.067322,80.655080,39.978250,3.059361,141.557266
13.940501,0.069238,89.920107,23.882156,5.708247,133.521891
17.489811,0.097221,59.763499,19.982283,5.011552,102.347756
20.271842,0.064466,96.462943,35.733124,6.304946,158.838173
17.296149,0.046198,75.538717,20.909414,5.960857,119.752755
23.573878,0.052699,56.667779,14.580579,4.325630,99.202047
15.377556,0.058331,79.699731,14.973867,4.702428,114.813216
20.476898,0.047533,62.550241,17.709400,5.754463,106.539896
